year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,brand
2015,600000,136000,Diesel,Individual,Manual,First Owner,22.903614457831328,1461.0,108.45,248.0,5.0,Renault
2014,280000,100000,Diesel,Individual,Manual,First Owner,16.867469879518072,2489.0,95.0,220.0,8.0,Mahindra
2016,645000,11000,Petrol,Dealer,Automatic,First Owner,19.324324324324326,1598.0,103.5,153.0,5.0,Skoda
2018,750000,24000,Diesel,Individual,Manual,First Owner,29.397590361445783,1498.0,98.63,215.0,5.0,Ford
2016,600000,70000,Diesel,Individual,Manual,First Owner,19.228915662650603,2523.0,63.0,180.0,9.0,Mahindra
2015,450000,85000,Diesel,Dealer,Manual,First Owner,31.084337349397593,1498.0,98.6,200.0,5.0,Honda
2019,5400000,7500,Diesel,Dealer,Automatic,First Owner,20.21686746987952,1995.0,190.0,400.0,5.0,BMW
2016,725000,66000,Diesel,Dealer,Manual,First Owner,25.02409638554217,1248.0,88.8,200.0,7.0,Maruti
2017,400000,52000,Petrol,Individual,Manual,First Owner,29.22972972972973,998.0,67.0,90.0,5.0,Maruti
2015,850000,108000,Diesel,Individual,Manual,First Owner,23.698795180722893,1582.0,126.2,259.9,5.0,Hyundai
2016,2000000,68089,Petrol,Trustmark Dealer,Automatic,First Owner,25.89189189189189,2494.0,157.7,213.0,5.0,Toyota
2006,145000,170000,Diesel,Individual,Manual,First Owner,16.3855421686747,2523.0,63.0,180.0,7.0,Mahindra
2011,320000,80000,Diesel,Individual,Manual,First Owner,16.783132530120483,2179.0,138.03,320.0,7.0,Tata
2013,454000,120000,Diesel,Individual,Manual,Second Owner,16.36144578313253,2499.0,72.4,171.0,10.0,Chevrolet
2012,350000,70000,Diesel,Individual,Manual,Second Owner,25.903614457831328,1248.0,88.8,200.0,5.0,Maruti
2010,285000,155000,Petrol,Individual,Manual,Second Owner,20.945945945945947,1586.0,103.3,145.0,5.0,Maruti
2018,6000000,28156,Diesel,Dealer,Automatic,First Owner,20.590361445783135,2993.0,261.4,620.0,4.0,BMW
2016,575000,53000,Diesel,Dealer,Manual,First Owner,27.156626506024097,1396.0,88.73,219.7,5.0,Hyundai
2013,175000,120000,Diesel,Individual,Manual,First Owner,23.0,1396.0,69.0,135.0,5.0,Tata
2017,1450000,7000,Petrol,Dealer,Automatic,Second Owner,19.635135135135133,1794.0,138.1,173.0,5.0,Toyota
2017,450000,89000,Diesel,Individual,Manual,First Owner,32.867469879518076,1047.0,69.0,140.0,5.0,Tata
2011,135000,110048,Petrol,Individual,Manual,Third Owner,28.270270270270274,998.0,67.1,90.0,5.0,Maruti
2017,484999,10000,Petrol,Dealer,Manual,First Owner,31.216216216216218,998.0,67.04,90.0,5.0,Maruti
2010,950000,426000,Diesel,Individual,Manual,First Owner,15.421686746987953,2494.0,102.0,200.0,7.0,Toyota
2012,320000,100000,Petrol,Individual,Manual,Second Owner,25.0,1197.0,80.0,111.76470588235296,5.0,Hyundai
2005,130000,50000,Petrol,Individual,Manual,Second Owner,20.675675675675677,1341.0,83.0,115.0,5.0,Hyundai
2017,290000,30000,Petrol,Individual,Manual,First Owner,30.675675675675674,799.0,53.64,72.0,5.0,Datsun
2017,575000,96000,Diesel,Individual,Manual,First Owner,23.93975903614458,1461.0,83.8,200.0,5.0,Renault
2006,165000,110000,Petrol,Individual,Manual,Second Owner,23.91891891891892,1497.0,78.0,124.50980392156863,5.0,Honda
2008,210000,120000,Diesel,Individual,Manual,Second Owner,22.53012048192771,1896.0,66.0,210.0,5.0,Skoda
2018,600000,69779,Petrol,Dealer,Automatic,First Owner,29.72972972972973,1197.0,81.8,113.0,5.0,Maruti
2015,1888000,120000,Diesel,Individual,Manual,Second Owner,15.120481927710845,2982.0,168.5,343.0,7.0,Toyota
2017,800000,60000,Diesel,Individual,Manual,First Owner,27.433734939759038,1498.0,98.59,205.0,5.0,Ford
2007,130000,78000,Petrol,Individual,Manual,First Owner,26.62162162162162,796.0,46.3,62.0,5.0,Maruti
2006,85000,60000,Petrol,Individual,Manual,Second Owner,26.62162162162162,796.0,46.3,62.0,5.0,Maruti
2005,75000,120000,Petrol,Individual,Manual,First Owner,17.56756756756757,1493.0,100.0,128.4313725490196,5.0,Honda
2018,740000,38817,Diesel,Dealer,Manual,First Owner,33.0,1248.0,74.0,190.0,5.0,Maruti
2013,250000,35000,Petrol,Individual,Manual,First Owner,28.270270270270274,998.0,67.1,90.0,5.0,Maruti
2018,525000,110000,Diesel,Individual,Manual,Second Owner,24.879518072289155,1248.0,88.7,190.0,5.0,Tata
2017,1650000,69123,Diesel,Dealer,Manual,First Owner,20.60240963855422,1956.0,170.0,350.0,5.0,Jeep
2007,135000,119000,Diesel,Individual,Manual,Fourth & Above Owner,20.24096385542169,1493.0,110.0,235.29411764705884,5.0,Hyundai
2018,750000,25000,Diesel,Individual,Manual,First Owner,33.8433734939759,1248.0,88.5,200.0,5.0,Maruti
2020,550000,15000,Petrol,Individual,Manual,First Owner,31.432432432432435,1197.0,88.5,113.0,5.0,Maruti
2014,540000,110000,Diesel,Individual,Manual,First Owner,16.867469879518072,2523.0,75.0,200.0,8.0,Mahindra
2016,645000,11000,Petrol,Dealer,Automatic,First Owner,19.324324324324326,1598.0,103.5,153.0,5.0,Skoda
2014,910000,80000,Diesel,Individual,Manual,Second Owner,15.650602409638555,2494.0,100.6,200.0,8.0,Toyota
2014,725000,141000,Diesel,Individual,Manual,Second Owner,18.19277108433735,2179.0,140.0,330.0,7.0,Mahindra
2009,115999,110000,Petrol,Individual,Manual,Second Owner,26.62162162162162,796.0,46.3,62.0,5.0,Maruti
2010,250000,47000,Petrol,Individual,Manual,First Owner,20.675675675675677,1596.0,101.0,146.07843137254903,5.0,Ford
2014,196000,60000,Petrol,Individual,Manual,Second Owner,30.729729729729726,796.0,47.3,69.0,5.0,Maruti
2010,350000,60000,Petrol,Individual,Manual,Second Owner,19.635135135135133,1798.0,138.0,173.0,5.0,Toyota
2010,420000,160500,Diesel,Individual,Manual,Fourth & Above Owner,16.265060240963855,2179.0,115.0,277.5,5.0,Mahindra
2001,60000,71000,Petrol,Individual,Manual,Second Owner,,,,,,Hyundai
2008,114999,100000,Petrol,Individual,Manual,Second Owner,26.62162162162162,796.0,46.3,62.0,5.0,Maruti
2012,180000,120000,Petrol,Individual,Manual,Second Owner,28.513513513513516,814.0,55.2,74.5,5.0,Hyundai
2012,1300000,140000,Diesel,Individual,Automatic,Second Owner,22.746987951807228,1995.0,184.0,380.0,5.0,BMW
2011,350000,118000,Diesel,Individual,Manual,Second Owner,25.421686746987955,1248.0,73.9,113.0,5.0,Maruti
2017,3200000,45000,Diesel,Dealer,Automatic,First Owner,23.289156626506024,1999.0,177.0,430.0,5.0,Jaguar
2005,150000,120000,Diesel,Individual,Manual,Third Owner,21.44578313253012,1399.0,68.0,159.80392156862746,5.0,Ford
2012,350000,40000,Petrol,Individual,Manual,Third Owner,,,,,,Toyota
2013,300000,57000,Petrol,Individual,Manual,Second Owner,27.716216216216218,998.0,67.04,90.0,5.0,Maruti
2012,550000,120000,Petrol,Individual,Manual,First Owner,22.702702702702705,1497.0,116.3,146.0,5.0,Honda
2015,550000,50000,Petrol,Individual,Manual,First Owner,28.175675675675677,1197.0,83.14,115.0,5.0,Maruti
2019,750000,6500,Petrol,Individual,Automatic,First Owner,28.662162162162165,1197.0,81.8,113.0,5.0,Maruti
2014,434999,70195,Diesel,Dealer,Manual,Second Owner,34.21686746987952,1248.0,74.02,190.0,5.0,Maruti
2014,215000,100000,Diesel,Individual,Manual,Second Owner,30.120481927710845,1396.0,69.01,140.0,5.0,Tata
2014,1100000,120000,Diesel,Individual,Manual,First Owner,15.650602409638555,2494.0,100.6,200.0,8.0,Toyota
2015,900000,145000,Diesel,Individual,Manual,First Owner,27.349397590361445,1582.0,126.2,259.88,5.0,Hyundai
2017,600000,19000,Petrol,Individual,Manual,First Owner,23.229729729729733,1197.0,81.86,114.73,5.0,Hyundai
2018,740000,38817,Diesel,Dealer,Manual,First Owner,33.0,1248.0,74.0,190.0,5.0,Maruti
2009,120000,58000,Petrol,Individual,Manual,First Owner,26.62162162162162,796.0,46.3,62.0,5.0,Maruti
2010,325000,86017,Diesel,Dealer,Manual,Second Owner,30.722891566265062,1498.0,99.23,215.0,5.0,Ford
2016,300000,40000,Petrol,Individual,Manual,First Owner,30.729729729729726,796.0,47.3,69.0,5.0,Maruti
2014,95000,50000,Petrol,Individual,Manual,Second Owner,34.32432432432432,624.0,37.5,51.0,4.0,Tata
2015,610000,30000,Petrol,Dealer,Manual,First Owner,25.27027027027027,1199.0,88.7,110.0,5.0,Honda
2015,525000,120000,Petrol,Individual,Manual,Second Owner,23.513513513513512,1497.0,117.3,145.0,5.0,Honda
2014,650000,68000,Diesel,Individual,Manual,First Owner,27.59036144578313,1248.0,74.0,190.0,5.0,Maruti
2016,500000,143200,Diesel,Individual,Manual,First Owner,31.12048192771084,1498.0,99.0,215.0,5.0,Ford
2009,310000,110000,Diesel,Individual,Manual,First Owner,16.3855421686747,2523.0,63.0,180.0,7.0,Mahindra
2016,350000,70000,Petrol,Individual,Manual,Second Owner,23.743243243243246,1193.0,88.7,140.0,5.0,Tata
2012,175000,60000,Diesel,Individual,Manual,First Owner,26.867469879518076,1248.0,74.0,190.0,5.0,Tata
2015,434000,120000,Diesel,Individual,Manual,First Owner,16.36144578313253,2499.0,72.4,171.0,10.0,Chevrolet
2004,170000,160000,Diesel,Individual,Manual,Third Owner,15.783132530120483,1493.0,82.0,187.0,5.0,Hyundai
2018,600000,69779,Petrol,Dealer,Automatic,First Owner,29.72972972972973,1197.0,81.8,113.0,5.0,Maruti
2007,350000,90000,Petrol,Individual,Automatic,First Owner,17.43243243243243,1799.0,130.0,172.0,5.0,Honda
2011,110000,110000,Petrol,Individual,Manual,First Owner,24.405405405405403,1198.0,75.0,104.0,5.0,Nissan
2016,327000,20000,Petrol,Individual,Manual,First Owner,24.527027027027025,1198.0,82.0,115.0,6.0,Mahindra
2018,400000,50000,Diesel,Individual,Manual,First Owner,28.313253012048193,909.0,45.0,98.0,8.0,Mahindra
2012,275000,120000,Diesel,Individual,Manual,Second Owner,,,,,,Toyota
2013,235000,52000,Petrol,Dealer,Manual,First Owner,33.37837837837838,796.0,47.3,69.0,5.0,Maruti
2017,605000,127000,Diesel,Individual,Manual,First Owner,34.21686746987952,1248.0,74.02,190.0,5.0,Maruti
2015,650000,50000,Petrol,Individual,Manual,First Owner,28.918918918918916,1197.0,83.1,115.0,5.0,Maruti
2018,430000,5000,Petrol,Individual,Manual,Second Owner,27.87837837837838,1198.0,67.0,104.0,5.0,Datsun
2006,425000,270000,Diesel,Individual,Manual,Third Owner,15.421686746987953,2494.0,102.0,200.0,8.0,Toyota
2008,120000,93331,Petrol,Individual,Manual,Second Owner,26.77027027027027,1086.0,68.05,99.04,5.0,Hyundai
2011,200000,40000,Petrol,Individual,Manual,First Owner,,,,,,Maruti
2011,300000,125000,Diesel,Individual,Manual,First Owner,23.253012048192772,1248.0,73.9,190.0,5.0,Maruti
2016,500000,56000,Petrol,Individual,Manual,Third Owner,25.54054054054054,1197.0,82.0,114.0,5.0,Hyundai
2018,380000,25000,Petrol,Individual,Manual,First Owner,28.513513513513516,814.0,55.2,74.5,5.0,Hyundai
2010,409999,210000,Diesel,Individual,Manual,Fourth & Above Owner,14.698795180722891,1994.0,105.3,263.7,9.0,Chevrolet
2011,325000,160000,Diesel,Individual,Manual,Third Owner,25.132530120481928,1199.0,75.0,180.0,5.0,Skoda
2011,300000,80000,Diesel,Individual,Manual,First Owner,24.096385542168676,1399.0,68.0,160.0,5.0,Ford
2014,600000,90000,Diesel,Individual,Manual,Second Owner,16.36144578313253,2499.0,72.4,171.0,9.0,Chevrolet
2012,145000,70000,Petrol,Individual,Manual,First Owner,26.62162162162162,796.0,46.3,62.0,5.0,Maruti
2017,650000,32331,Diesel,Individual,Manual,Second Owner,27.156626506024097,1396.0,88.73,219.7,5.0,Hyundai
2016,631000,75000,Diesel,Individual,Manual,Second Owner,32.036144578313255,1248.0,74.0,190.0,5.0,Maruti
2017,700000,43000,Petrol,Dealer,Manual,First Owner,20.81081081081081,1497.0,117.3,145.0,7.0,Honda
2013,210000,120000,Petrol,Individual,Manual,First Owner,21.135135135135137,1193.0,64.1,100.0,5.0,Tata
2014,1850000,76131,Diesel,Individual,Automatic,First Owner,15.927710843373495,2967.0,241.4,580.0,5.0,Audi
2017,810000,80000,Petrol,Individual,Manual,First Owner,28.013513513513516,1373.0,91.1,130.0,5.0,Maruti
2012,195000,35000,Petrol,Individual,Manual,Second Owner,28.513513513513516,814.0,55.2,74.5,5.0,Hyundai
2007,128000,60000,Petrol,Individual,Manual,Second Owner,26.62162162162162,796.0,46.3,62.0,5.0,Maruti
2012,270000,80000,Diesel,Individual,Manual,Third Owner,27.951807228915662,1248.0,73.94,190.0,5.0,Maruti
2005,125000,70000,Petrol,Individual,Manual,Fourth & Above Owner,26.62162162162162,796.0,46.3,62.0,5.0,Maruti
2016,445000,63000,Diesel,Dealer,Manual,First Owner,18.433734939759038,2956.0,83.8,250.0,9.0,Tata
2010,200000,40000,LPG,Individual,Manual,Fourth & Above Owner,17.3,1061.0,57.5,76.47058823529412,5.0,Maruti
2012,350000,120000,Diesel,Individual,Manual,Fourth & Above Owner,16.867469879518072,2498.0,112.0,260.0,8.0,Mahindra
2013,700000,99000,Diesel,Dealer,Manual,First Owner,15.650602409638555,2494.0,100.0,200.0,7.0,Toyota
2010,160000,90000,Petrol,Individual,Manual,Second Owner,21.08108108108108,1196.0,70.0,102.0,5.0,Ford
1997,50000,120000,Petrol,Individual,Manual,Second Owner,21.756756756756758,796.0,37.0,59.0,4.0,Maruti
2019,320000,10000,Petrol,Individual,Manual,First Owner,34.013513513513516,799.0,53.3,72.0,5.0,Renault
2017,650000,16200,Diesel,Individual,Manual,First Owner,29.27710843373494,1248.0,88.5,200.0,5.0,Maruti
2012,450000,135000,Diesel,Individual,Manual,First Owner,19.228915662650603,2523.0,62.1,195.0,7.0,Mahindra
2012,222000,120000,LPG,Individual,Manual,First Owner,21.1,814.0,55.2,74.5,5.0,Hyundai
2014,550000,37000,Petrol,Individual,Manual,First Owner,22.905405405405403,1498.0,97.7,134.0,5.0,Nissan
2013,250000,50000,Petrol,Individual,Manual,First Owner,21.135135135135137,1193.0,64.1,100.0,5.0,Tata
2014,370000,120000,Diesel,Individual,Manual,Second Owner,25.46987951807229,1498.0,103.52,250.0,5.0,Skoda
2019,779000,7032,Petrol,Trustmark Dealer,Automatic,First Owner,25.675675675675677,1199.0,88.76,110.0,5.0,Honda
2009,150000,70000,Petrol,Individual,Manual,Fourth & Above Owner,26.62162162162162,796.0,46.3,62.0,5.0,Maruti
2016,530000,60000,Diesel,Individual,Manual,First Owner,22.277108433734938,1493.0,100.0,240.0,7.0,Mahindra
2019,585000,80000,Petrol,Individual,Automatic,First Owner,23.513513513513512,1197.0,81.86,114.73,5.0,Hyundai
2016,450000,100000,Diesel,Individual,Manual,Second Owner,29.156626506024097,1498.0,98.6,200.0,7.0,Honda
2019,1050000,20000,Diesel,Individual,Manual,First Owner,30.686746987951807,1248.0,88.5,200.0,7.0,Maruti
2014,390000,30000,Petrol,Individual,Manual,First Owner,26.60810810810811,1198.0,67.04,104.0,5.0,Nissan
2010,180000,55000,Petrol,Individual,Manual,Fourth & Above Owner,24.216216216216218,1086.0,62.1,96.1,5.0,Hyundai
2018,750000,22000,Diesel,Individual,Manual,First Owner,25.337349397590366,1461.0,65.0,160.0,5.0,Mahindra
2012,60000,40000,Petrol,Individual,Manual,Second Owner,34.32432432432432,624.0,38.0,51.0,4.0,Tata
2011,220000,100000,Diesel,Individual,Manual,First Owner,24.096385542168676,1399.0,68.0,160.0,5.0,Ford
2018,2475000,2000,Diesel,Dealer,Automatic,First Owner,20.24096385542169,1984.0,150.0,350.0,5.0,Volvo
2011,180000,87000,Diesel,Individual,Manual,First Owner,21.686746987951807,1248.0,75.0,190.0,5.0,Tata
2016,265000,50000,Petrol,Individual,Manual,First Owner,34.013513513513516,799.0,53.3,72.0,5.0,Renault
2012,325000,175000,Diesel,Individual,Manual,Second Owner,25.903614457831328,1248.0,88.8,200.0,5.0,Maruti
2019,580000,12000,Petrol,Individual,Manual,First Owner,27.027027027027028,999.0,72.0,96.0,7.0,Renault
2015,350000,52000,Diesel,Individual,Manual,First Owner,23.0,1405.0,69.01,135.0,5.0,Tata
2012,320000,40000,Petrol,Individual,Manual,First Owner,25.0,1197.0,85.8,114.0,5.0,Maruti
2011,300000,138000,Petrol,Individual,Manual,Third Owner,22.972972972972972,1197.0,80.0,111.76470588235296,5.0,Hyundai
2013,450000,108800,Diesel,Individual,Manual,Third Owner,27.59036144578313,1248.0,74.0,190.0,5.0,Maruti
2018,340000,10000,Petrol,Individual,Manual,First Owner,34.013513513513516,799.0,53.3,72.0,5.0,Renault
2012,549000,66657,Diesel,Dealer,Automatic,First Owner,26.89156626506024,1582.0,126.32,259.8,5.0,Hyundai
2019,5400000,7500,Diesel,Dealer,Automatic,First Owner,20.21686746987952,1995.0,190.0,400.0,5.0,BMW
2010,300000,60000,Diesel,Individual,Manual,First Owner,25.819277108433734,1364.0,87.2,205.0,5.0,Toyota
2016,300000,25000,Petrol,Individual,Manual,First Owner,30.729729729729726,796.0,47.3,69.0,5.0,Maruti
2017,430000,20000,Petrol,Individual,Automatic,First Owner,27.716216216216218,998.0,67.0,90.0,5.0,Maruti
2016,1000000,60000,Diesel,Individual,Automatic,First Owner,26.686746987951807,1498.0,108.6,250.0,5.0,Volkswagen
2011,250000,70000,Diesel,Individual,Manual,Second Owner,24.746987951807228,1598.0,103.6,250.0,5.0,Volkswagen
2011,450000,50000,Petrol,Individual,Manual,First Owner,22.972972972972972,1497.0,118.0,146.0,5.0,Honda
2019,600000,5000,Petrol,Individual,Manual,First Owner,27.027027027027028,999.0,72.0,96.0,7.0,Renault
2010,200000,35000,Petrol,Dealer,Manual,First Owner,25.54054054054054,998.0,67.1,90.0,5.0,Maruti
2019,625000,4337,Petrol,Dealer,Automatic,First Owner,25.54054054054054,1197.0,82.0,114.0,5.0,Hyundai
2019,667000,7500,Petrol,Individual,Manual,First Owner,25.135135135135137,1197.0,81.86,114.73,5.0,Hyundai
2011,300000,120000,Petrol,Individual,Manual,Third Owner,23.783783783783786,1496.0,88.7,132.0,5.0,Toyota
2017,339000,25000,Petrol,Individual,Manual,First Owner,27.432432432432435,998.0,68.05,94.14,5.0,Hyundai
2019,509999,10000,Petrol,Individual,Manual,First Owner,28.662162162162165,1197.0,81.8,113.0,5.0,Maruti
2015,900000,90000,Petrol,Individual,Manual,First Owner,20.66216216216216,1591.0,121.3,151.0,5.0,Hyundai
2017,700000,50000,Diesel,Individual,Manual,Second Owner,34.21686746987952,1248.0,74.02,190.0,5.0,Maruti
2018,560000,25000,Petrol,Individual,Manual,First Owner,29.72972972972973,1197.0,81.8,113.0,5.0,Maruti
2014,420000,120000,Diesel,Individual,Manual,Second Owner,28.19277108433735,1248.0,74.0,190.0,5.0,Maruti
2006,150000,100000,Petrol,Individual,Manual,Fourth & Above Owner,18.10810810810811,1794.0,125.0,157.843137254902,5.0,Toyota
2018,650000,28000,Petrol,Individual,Manual,First Owner,22.972972972972972,1198.0,108.5,170.0,5.0,Tata
2010,350000,90000,Diesel,Individual,Manual,Second Owner,27.710843373493976,1396.0,90.0,219.6078431372549,5.0,Hyundai
2012,520000,73000,Diesel,Individual,Manual,First Owner,25.02409638554217,1248.0,88.76,200.0,7.0,Maruti
2006,140000,60000,Petrol,Individual,Manual,Second Owner,22.432432432432435,1388.0,68.0,159.80392156862746,5.0,Ford
2013,310000,70000,Petrol,Individual,Manual,First Owner,26.77027027027027,1086.0,68.05,99.04,5.0,Hyundai
2009,120000,120000,Petrol,Individual,Manual,First Owner,,,,,,Maruti
2007,75000,100000,Petrol,Individual,Manual,Second Owner,20.675675675675677,1193.0,65.3,102.0,5.0,Tata
2010,225000,127000,Diesel,Individual,Manual,First Owner,27.710843373493976,1396.0,90.0,219.6078431372549,5.0,Hyundai
2014,450000,145500,Diesel,Individual,Manual,First Owner,28.19277108433735,1248.0,74.0,190.0,5.0,Maruti
2010,140000,40000,Diesel,Individual,Manual,First Owner,20.000000000000004,1405.0,70.0,140.19607843137257,5.0,Tata
2008,170000,120000,Diesel,Individual,Manual,Third Owner,21.44578313253012,1248.0,75.0,190.0,5.0,Maruti
2014,750000,120000,Diesel,Individual,Manual,First Owner,15.650602409638555,2494.0,100.6,200.0,7.0,Toyota
2018,650000,82000,Diesel,Individual,Automatic,First Owner,26.180722891566266,1498.0,108.62,250.0,5.0,Volkswagen
2014,530000,110000,Diesel,Individual,Manual,First Owner,31.084337349397593,1498.0,98.6,200.0,5.0,Honda
2017,2711000,9000,Diesel,Dealer,Automatic,First Owner,16.3855421686747,1999.0,177.0,430.0,5.0,Jaguar
2017,620000,31000,Diesel,Individual,Manual,First Owner,30.602409638554217,1186.0,73.97,190.25,5.0,Hyundai
2016,750000,110000,Diesel,Individual,Automatic,First Owner,22.277108433734938,1493.0,100.0,240.0,7.0,Mahindra
2020,1900000,5000,Diesel,Dealer,Automatic,First Owner,21.44578313253012,1493.0,113.4,250.0,5.0,Kia
2017,525000,38000,Diesel,Dealer,Manual,Second Owner,,,,,,Maruti
